Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,Date,Time,Age_Category,Time_Status
2023-06-04 18:58:19-05:30,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,2,Yes,1,1,Competitive prices,Reducing packaging waste,04/06/2023,18:58:19,Young Adult (18-25),Evening
2023-06-04 20:00:44-05:30,23,Female,Once a month,Clothing and Fashion,Yes,Few times a month,,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste,04/06/2023,20:00:44,Young Adult (18-25),Evening
2023-06-04 22:34:56-05:30,24,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,No,4,No,3,3,Competitive prices,Product quality and accuracy,04/06/2023,22:34:56,Young Adult (18-25),Night
2023-06-04 22:43:00-05:30,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,,First page,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,4,Competitive prices,Product quality and accuracy,04/06/2023,22:43:00,Young Adult (18-25),Night
2023-06-04 22:58:06-05:30,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Heavily,Yes,4,Yes,2,2,Competitive prices,Product quality and accuracy,04/06/2023,22:58:06,Young Adult (18-25),Night
2023-06-04 23:31:59-05:30,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy,04/06/2023,23:31:59,Young Adult (18-25),Night
2023-06-05 00:01:41-05:30,22,Female,Less than once a month,Clothing and Fashion,No,Rarely,,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Shipping speed and reliability,05/06/2023,00:01:41,Young Adult (18-25),Night
2023-06-05 00:43:12-05:30,21,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,3,Sometimes,1,3,Competitive prices,Shipping speed and reliability,05/06/2023,00:43:12,Young Adult (18-25),Night
2023-06-05 00:53:21-05:30,20,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Wide product selection,Reducing packaging waste,05/06/2023,00:53:21,Young Adult (18-25),Night
2023-06-05 01:03:12-05:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,No,Heavily,Yes,3,Yes,3,4,Wide product selection,Product quality and accuracy,05/06/2023,01:03:12,Young Adult (18-25),Night
